recommend_time,code,name,sector,price,signal,market_mode,etf_grade,score,status,last_price,max_return,min_return,days
2026-08-20 10:33:14,688235,百济神州,自动发现,301.84,A级-回避,强势进攻日,C,81.43,open,298.88,0.0,-1.5041,0
2026-08-20 10:33:14,601869,长飞光纤,自动发现,356.66,A级-回避,强势进攻日,C,81.23,win,422.36,18.4209,-0.1514,9
2026-08-20 10:33:14,601088,中国神华,煤炭,46.56,A级-快吃肉候选,强势进攻日,A,80.83,win,47.63,2.6632,-0.8806,9
2026-08-18 15:26:26,300433,蓝思科技,自动发现,39.12,A级-回避,防守观察日,C,80.44,loss,38.23,0.6391,-5.7004,11
2026-08-18 15:26:26,600703,三安光电,自动发现,14.83,A级-回避,防守观察日,C,79.22,open,14.83,0.0,0.0,0
2026-08-18 15:26:26,688082,盛美上海,自动发现,337.4,A级-回避,防守观察日,C,77.8,open,337.4,0.0,0.0,0
2026-08-18 14:40:14,688012,中微公司,半导体设备,398.59,A级-快吃肉候选,防守观察日,B,88.45,loss,367.0,0.0,-11.8894,11
2026-08-18 14:40:14,688017,绿的谐波,自动发现,379.51,A级-回避,防守观察日,C,83.13,loss,299.3,0.3399,-21.1351,10
2026-08-18 14:40:14,300757,罗博特科,自动发现,551.0,A级-回避,防守观察日,C,82.33,loss,536.7,0.2015,-12.1506,11
2026-08-18 14:40:14,300666,江丰电子,自动发现,279.2,A级-回避,防守观察日,C,80.52,loss,239.82,0.0,-15.5229,11
2026-08-18 10:23:49,600276,恒瑞医药,创新药,52.91,A级-快吃肉候选,防守观察日,A,78.23,loss,47.32,0.0,-12.285,11
2026-08-18 10:23:49,600580,卧龙电驱,自动发现,36.7,A级-回避,防守观察日,C,75.97,open,36.94,0.654,0.0,0
2026-08-18 10:23:49,300759,康龙化成,自动发现,51.04,B级-回避,防守观察日,C,71.53,loss,43.78,0.7249,-14.2241,11
2026-08-18 10:23:49,000100,TCL科技,自动发现,5.26,B级-回避,防守观察日,C,69.62,loss,4.97,0.0,-5.5133,10
