code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,explosion_index,explosion_reason,held,cost,position_pnl,event_note,event_risk_value,event_hard_veto,event_unknown,signal,action,final_score,priority,life_stage,coach_score,candidate_grade,recommend_reasons,deduct_reasons,human_adjust,coach_action,coach_priority
300017,网宿科技,自动发现,历史动态池,15.47,3.97,15.16,15.63,15.05,14.88,301620.0,8.28,1.27,20260827161448,0.7241379310344825,-1.0236724248240625,2.7906976744185963,2.044854881266489,,C,50.0,3.97,54.96,83.05,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,83.05,0,未知,86.05,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
300142,沃森生物,自动发现,今日自动发现,15.58,2.1,15.12,15.66,14.66,15.26,430225.0,18.09,1.0,20260827161418,0.9199999999999999,-0.5108556832694733,6.275579809004084,3.0423280423280463,,C,50.0,2.1,55.27,82.75,0.0,10.0,换手率偏高,False,0.0,0,,0.0,False,False,回避,当前无优势,82.75,0,未知,85.75,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
600869,远东股份,自动发现,今日自动发现,17.95,3.64,17.04,18.19,16.91,17.32,472956.0,12.01,1.24,20260827161432,0.8124999999999987,-1.319406267179779,6.150206978119455,5.340375586854451,,C,50.0,3.64,23.35,81.91,0.0,32.0,事件风险+32,False,0.0,0,近期业绩公告：远东股份:2026年半年度报告；近期业绩公告：远东股份:关于召开2026年半年度业绩说明会的公告；风险公告：远东股份:关于处理2026年半年度各项资产减值准备的公告；近期业绩公告：远东股份:2026年半年度报告摘要,32.0,False,False,回避,当前无优势,81.91,0,未知,84.91,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
688017,绿的谐波,自动发现,今日自动发现,299.3,2.2,291.54,299.97,286.6,292.87,221595.0,4.1,1.02,20260827161435,0.9498878085265509,-0.22335566890022696,4.431263084438242,2.661727378747347,,C,50.0,2.2,46.69,81.31,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：绿的谐波:2026年半年度报告摘要；近期业绩公告：绿的谐波:2026年半年度报告,8.0,False,False,回避,当前无优势,81.31,0,未知,84.31,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
600186,莲花控股,自动发现,今日自动发现,11.69,3.0,11.42,11.82,11.32,11.35,225894.0,10.92,0.94,20260827161454,0.7399999999999984,-1.0998307952622688,3.2685512367491176,2.3642732049036663,,C,50.0,3.0,54.71,81.04,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,81.04,0,未知,84.04,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
688072,拓荆科技,自动发现,今日自动发现,693.0,2.66,674.9,698.0,664.11,675.06,338148.0,1.75,0.9,20260827161443,0.8524638536441428,-0.7163323782234943,4.3501829516194634,2.6818787968587943,,C,50.0,2.66,47.06,80.98,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：拓荆科技:2026年半年度报告摘要；近期业绩公告：拓荆科技:2026年半年度报告,8.0,False,False,回避,当前无优势,80.98,0,未知,83.98,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
601899,紫金矿业,有色金属,核心池,34.57,0.29,33.8,34.86,33.79,34.47,798738.0,1.12,0.72,20260827161453,0.7289719626168233,-0.8318990246701019,2.3083752589523554,2.2781065088757435,有色金属ETF,A,79.75,-0.89,59.8,76.53,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：紫金矿业:紫金矿业集团股份有限公司2026年半年度报告；近期业绩公告：紫金矿业:紫金矿业集团股份有限公司2026年半年度报告摘要；近期业绩公告：紫金矿业:紫金矿业集团股份有限公司关于召开2026年半年度业绩说明会的公告,8.0,False,False,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,76.53,10,发酵,83.53,A,所属ETF强；价格接近日内强势区；开盘后仍有承接；当日未明显追高；板块处于发酵阶段；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
688012,中微公司,半导体设备,核心池,376.01,2.16,367.01,376.46,367.01,368.05,592065.0,1.69,0.92,20260827161435,0.9523809523809535,-0.11953461191095416,2.452249257513417,2.452249257513417,半导体ETF,S,95.11,-2.36,59.54,86.38,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：中微公司:2026年半年度报告；近期业绩公告：中微公司:2026年半年度报告摘要,8.0,False,False,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,86.38,10,高潮,83.38,A,所属ETF强；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,弱于行业；板块可能处于高潮,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
301396,宏景科技,自动发现,今日自动发现,181.38,5.25,175.0,183.85,170.5,172.34,277310.0,10.99,1.17,20260827161442,0.8149812734082397,-1.343486537938532,6.381231671554244,3.6457142857142744,,C,50.0,5.25,54.89,90.36,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,90.36,0,未知,83.36,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；市场总体风险较低,接近追高区；人工设置禁止追高,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
688347,华虹宏力,自动发现,今日自动发现,252.72,3.57,244.01,254.8,240.33,244.02,501390.0,4.94,1.29,20260827161459,0.8562543192812707,-0.8163265306122547,5.155411309449498,3.569525839104948,,C,50.0,3.57,23.4,80.05,0.0,32.0,事件风险+32,False,0.0,0,近期业绩公告：华虹宏力:2026年半年度报告；风险公告：华虹宏力:关于2026年半年度计提资产减值准备的公告；近期业绩公告：华虹宏力:2026年半年度报告摘要,32.0,False,False,回避,当前无优势,80.05,0,未知,83.05,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
