code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,explosion_index,explosion_reason,held,cost,position_pnl,event_note,signal,action,final_score,priority
601225,陕西煤业,自动发现,今日自动发现,25.0,2.88,24.3,25.17,24.11,24.3,205409.0,0.86,1.58,20260720161441,0.8396226415094327,-0.6754072308303605,3.691414350891753,2.8806584362139898,,C,50.0,2.88,54.63,76.15,0.0,0.0,,False,0.0,0,,回避,当前无优势,76.15,0
601688,华泰证券,自动发现,今日自动发现,20.47,3.02,19.98,20.57,19.92,19.87,187763.0,1.27,1.21,20260720161436,0.8461538461538436,-0.4861448711716121,2.7610441767068172,2.452452452452447,,C,50.0,3.02,54.55,76.04,0.0,0.0,,False,0.0,0,,回避,当前无优势,76.04,0
600941,中国移动,自动发现,今日自动发现,95.8,2.57,93.4,96.08,93.4,93.4,192521.0,2.23,1.77,20260720161445,0.8955223880597007,-0.2914238134887559,2.569593147751603,2.569593147751603,,C,50.0,2.57,54.57,75.83,0.0,0.0,,False,0.0,0,,回避,当前无优势,75.83,0
601336,新华保险,自动发现,今日自动发现,64.84,3.25,63.0,65.45,62.99,62.8,233286.0,1.73,1.19,20260720161449,0.7520325203252036,-0.9320091673032826,2.9369741228766566,2.9206349206349236,,C,50.0,3.25,54.74,75.71,0.0,0.0,,False,0.0,0,,回避,当前无优势,75.71,0
002714,牧原股份,自动发现,今日自动发现,40.61,1.96,39.28,40.84,38.42,39.83,332730.0,2.54,1.01,20260720161403,0.9049586776859488,-0.5631733594515298,5.700156168662152,3.385947046843163,,C,50.0,1.96,55.04,75.53,0.0,0.0,,False,0.0,0,,回避,当前无优势,75.53,0
002414,高德红外,自动发现,今日自动发现,13.76,4.64,13.51,13.99,13.44,13.15,208326.0,4.47,0.91,20260720161442,0.5818181818181816,-1.644031451036454,2.3809523809523725,1.850481125092518,,C,50.0,4.64,54.64,75.08,0.0,0.0,,False,0.0,0,,回避,当前无优势,75.08,0
603993,洛阳钼业,自动发现,今日自动发现,17.99,3.33,17.7,18.19,17.41,17.41,461961.0,1.48,1.05,20260720161456,0.7435897435897403,-1.0995052226498214,3.3314187248707494,1.6384180790960379,,C,50.0,3.33,55.33,74.14,0.0,0.0,,False,0.0,0,,回避,当前无优势,74.14,0
601988,中国银行,自动发现,今日自动发现,6.08,2.01,5.92,6.11,5.89,5.96,279275.0,0.22,1.4,20260720161445,0.8636363636363629,-0.49099836333879043,3.2258064516129004,2.7027027027026973,,C,50.0,2.01,54.89,73.97,0.0,0.0,,False,0.0,0,,回避,当前无优势,73.97,0
002532,天山铝业,自动发现,今日自动发现,12.5,4.25,12.2,12.76,11.8,11.99,175173.0,3.46,0.84,20260720161427,0.7291666666666666,-2.037617554858928,5.932203389830493,2.459016393442637,,C,50.0,4.25,54.49,73.71,0.0,0.0,,False,0.0,0,,回避,当前无优势,73.71,0
600030,中信证券,自动发现,今日自动发现,28.28,2.46,27.76,28.39,27.76,27.6,536096.0,1.57,1.15,20260720161454,0.825396825396826,-0.387460373370907,1.8731988472622474,1.8731988472622474,,C,50.0,2.46,55.46,73.51,0.0,0.0,,False,0.0,0,,回避,当前无优势,73.51,0
002142,宁波银行,自动发现,今日自动发现,32.4,2.4,31.53,32.74,31.4,31.64,176292.0,0.83,1.17,20260720161424,0.746268656716416,-1.0384850335980578,3.1847133757961776,2.7592768791626865,,C,50.0,2.4,54.49,73.0,0.0,0.0,,False,0.0,0,,回避,当前无优势,73.0,0
300418,昆仑万维,自动发现,今日自动发现,42.92,2.21,41.99,43.56,40.83,41.99,394928.0,7.96,0.86,20260720161427,0.7655677655677657,-1.4692378328741929,5.118785206955678,2.214813050726372,,C,50.0,2.21,55.19,72.2,0.0,0.0,,False,0.0,0,,回避,当前无优势,72.2,0
600150,XD中国船,自动发现,今日自动发现,33.01,3.22,32.28,33.16,32.1,31.98,327358.0,1.33,0.73,20260720161445,0.8584905660377365,-0.452352231604336,2.834890965732084,2.2614622057001155,,C,50.0,3.22,55.03,72.04,0.0,0.0,,False,0.0,0,,回避,当前无优势,72.04,0
002415,海康威视,自动发现,今日自动发现,34.28,3.41,33.68,34.82,33.52,33.15,346702.0,1.12,1.29,20260720161406,0.5846153846153843,-1.5508328546812167,2.2673031026252843,1.7814726840855055,,C,50.0,3.41,55.08,71.73,0.0,0.0,,False,0.0,0,,回避,当前无优势,71.73,0
600664,哈药股份,自动发现,今日自动发现,5.31,-0.38,4.8,5.57,4.8,5.33,386326.0,29.46,1.93,20260720161434,0.6623376623376617,-4.667863554757645,10.624999999999996,10.624999999999996,,C,50.0,-0.38,55.17,71.17,0.0,18.0,换手率过高,False,0.0,0,,回避,当前无优势,71.17,0
002241,歌尔股份,自动发现,今日自动发现,23.21,0.87,22.53,23.39,22.2,23.01,246023.0,3.42,0.91,20260720161409,0.8487394957983198,-0.7695596408721639,4.549549549549559,3.018197958277846,,C,50.0,0.87,54.78,70.98,0.0,0.0,,False,0.0,0,,回避,当前无优势,70.98,0
600489,中金黄金,自动发现,今日自动发现,19.53,2.47,19.09,19.83,19.0,19.06,176829.0,1.88,1.1,20260720161457,0.6385542168674726,-1.5128593040847016,2.7894736842105416,2.3048716605552633,,C,50.0,2.47,54.5,70.68,0.0,0.0,,False,0.0,0,,回避,当前无优势,70.68,0
000651,格力电器,自动发现,今日自动发现,40.58,1.58,39.8,40.8,39.73,39.95,307430.0,1.38,1.43,20260720161424,0.7943925233644871,-0.5392156862745079,2.1394412282909725,1.9597989949748706,,C,50.0,1.58,54.98,70.57,0.0,0.0,,False,0.0,0,,回避,当前无优势,70.57,0
